弱虫ペダル,渡辺航
囚人リク,瀬口忍
実は私は,増田英二
ハリガネサービス,荒達哉
鮫島、最後の十五日,佐藤タカヒロ
魔法少女・オブ・ジ・エンド,佐藤健太郎
絢爛たるグランドセーヌ,Cuvie
はじめの一歩,森川ジョージ
ダイヤのA act2,寺嶋裕二
ベイビーステップ,勝木光
七つの大罪,鈴木央
VECTOR BALL,雷句誠
進撃の巨人,諫山創
ふらいんぐうぃっち,石塚千尋
アルスラーン戦記,"荒川弘,田中芳樹"
アホガール,ヒロユキ
ノラガミ,あだちとか
ボールルームへようこそ,竹内友
さよなら私のクラマー,新川直司
宇宙兄弟,小山宙哉
へうげもの,山田芳裕
バガボンド,"井上雄彦,吉川英治"
ひらけ駒!,南Q太
CITY,あらゐけいいち
ヒストリエ,岩明均
おおきく振りかぶって,ひぐちアサ
ヴィンランド・サガ,幸村誠
ウィッチクラフトワークス,水薙竜
亜人,桜井画門
甘々と稲妻,雨隠ギド
はねバド!,濱田浩輔
いぬやしき,奥浩哉
累,松浦だるま
少女ファイト,"木内亨,日本橋ヨヲコ"
JJM 女子柔道部物語,小林まこと
妖怪番長,柴田ヨクサル
監獄学園,平本アキラ
彼岸島 48日後…,松本光司
ちこたん、こわれる,今井ユウ
手品先輩,アズ
亜人ちゃんは語りたい,ペトス
さばげぶっ!,松本ひで吉
ちはやふる,末次由紀
トモちゃんは女の子,柳田史太
ONE PIECE,尾田栄一郎
HUNTER×HUNTER,冨樫義博
トリコ,島袋光年
ハイキュー!!,古舘春一
斉木楠雄のサイ難,麻生周一
食戟のソーマ,"附田祐斗,佐伯俊"
ワールドトリガー,葦原大介
火ノ丸相撲,川田
僕のヒーローアカデミア,堀越耕平
ブラッククローバー,田畠裕基
背すじをピン!と〜鹿高競技ダンス部へようこそ〜,横田卓馬
左門くんはサモナー,沼駿
鬼滅の刃,吾峠呼世晴
ファイアパンチ,藤本タツキ
悪魔のメムメムちゃん,四谷啓太郎
新テニスの王子様,許斐剛
終わりのセラフ,"鏡貴也,山本ヤマト,降矢大輔"
キングダム,原泰久
テラフォーマーズ,"貴家悠,橘賢一"
干物妹!うまるちゃん,サンカクヘッド
群青戦記 グンジョーセンキ,笠原真樹
ゴールデンカムイ,野田サトル
東京喰種 トーキョーグール：re,石田スイ
かぐや様は告らせたい〜天才たちの恋愛頭脳戦〜,赤坂アカ
ワンパンマン,"村田雄介,ONE"
君に届け,椎名軽穂
高台家の人々,高台家の人々
アシガール,森本梢子
名探偵コナン,青山剛昌
銀の匙 Silver Spoon,荒川弘
湯神くんには友達がいない,佐倉準
だがしかし,コトヤマ
MAJOR 2nd,満田拓也
古見さんは、コミュ症です。,オダトモヒト
アサギロ 浅葱狼,ヒラマツミノル
MIX,あだち充
放課後さいころ倶楽部,中道裕大
からかい上手の高木さん,山本崇一朗
BLUE GIANT SUPREME,石塚真一
土竜の唄,高橋のぼる
アイアム ア ヒーロー,花沢健吾
あさひなぐ,こざき亜衣
白暮のクロニクル,ゆうきまさみ
デッドデッドデーモンズデデデデデストラクション,浅野いにお
イチゴーイチハチ!,相田裕
私たち、結婚しました,田中光
スローモーションをもう一度,加納梨衣
恋は雨上がりのように,眉月じゅん
重版出来!,松田奈緒子
7SEEDS,田村由美
賭ケグルイ,"尚村透,河本ほむら"
私がモテないのはどう考えてもお前らが悪い!,谷川ニコ
月刊少女野崎くん,椿いづみ
ばらかもん,ヨシノサツキ
咲-Saki-,小林立
プラスチック姉さん,栗井茶
キャタピラー,村田真哉
ムルシエラゴ,よしむらかな
ハイスコアガール,押切蓮介
シノハユ,"五十嵐あぐり,小林立"
アカギ,福本伸行
ラーメン大好き小泉さん,鳴見なる
イムリ,三宅乱丈
乙嫁語り,森薫
ふうらい姉妹,長崎ライチ
ヒナまつり,大武政夫
ハクメイとミコチ,樫木祐人
ダンジョン飯,九井諒子
苺ましまろ,ばらスィー
よつばと!,あずまきよひこ
新米姉妹のふたりごはん,柊ゆたか
ギリギリアウト,ソウマトウ
となりの関くん,森繁拓真
くまみこ,吉元ますめ
デンキ街の本屋さん,水あさと
ベルセルク,三浦建太郎
3月のライオン,羽海野チカ
恋するヤンキーガール,おりはらさちこ
ひだまりスケッチ,蒼樹うめ
魔法使いの嫁,ヤマザキコレ
僕らはみんな河合荘,宮原るり
それでも町は廻っている,石黒正数
ドリフターズ,平野耕太
山と食欲と私,信濃川 日出雄
女子かう生,若井ケン
彼女はろくろ首,二駅ずい
恋と嘘,ムサヲ
やがて君になる,仲谷鳰
早乙女選手、ひたかくす,水口尚樹
レイリ,"室井大資,岩明均"
少年ラケット,掛丸翔
少女終末旅行,つくみず
不滅のあなたへ,大今良時
フルドラム,箱石達
弟の夫,田亀源五郎
ケンガンアシュラ,"だろめおん,サンドロビッチ・ヤバ子"
ななしのアステリズム,小林キナ
おとなりボイスチャット,こじまなおなり
MASTERグレープ,"高橋アキラ,土塚理弘"
DRAGON JAM,藤井五成
約束のネバーランド,"出水ぽすか,白井カイウ"
BORUTO,"池本幹雄,岸本斉史,小太刀右京"
